Source File,Public ID,Organization,Availability,System Name,CPU,Processors per node,Total Processors,GPU,GPU Raw,GPU Form Factor,GPU Memory,Accelerator Model Name,Total Accelerators,Division/Power,# of Nodes,Accelerators per node,Benchmark,Benchmark Model,Scenario,Metric,Value
Table - Inference (0).csv,1.0-70,Dell EMC,Available Cloud,Dell EMC PowerEdge R7525 (3x A100-PCIe),AMD EPYC 7502,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,3,Closed - Power,1,3,Inference,ResNet,Offline,samples/s,93371.4
Table - Inference (0).csv,1.0-70,Dell EMC,Available Cloud,Dell EMC PowerEdge R7525 (3x A100-PCIe),AMD EPYC 7502,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,3,Closed - Power,1,3,Inference,ResNet,Offline,System Watts,1101.28
Table - Inference (0).csv,1.0-70,Dell EMC,Available Cloud,Dell EMC PowerEdge R7525 (3x A100-PCIe),AMD EPYC 7502,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,3,Closed - Power,1,3,Inference,ResNet,Server,queries/s,77976.7
Table - Inference (0).csv,1.0-70,Dell EMC,Available Cloud,Dell EMC PowerEdge R7525 (3x A100-PCIe),AMD EPYC 7502,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,3,Closed - Power,1,3,Inference,ResNet,Server,System Watts,1097.38
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.0,Offline,samples/s,135189.0
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.0,Offline,System Watts,830.13
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.0,Server,queries/s,126531.0
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.0,Server,System Watts,835.91
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.9,Offline,samples/s,135149.0
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.9,Offline,System Watts,829.09
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.9,Server,queries/s,126531.0
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,DLRM-99.9,Server,System Watts,835.52
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,ResNet,Offline,samples/s,23309.3
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,ResNet,Offline,System Watts,794.46
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,ResNet,Server,queries/s,21691.3
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,ResNet,Server,System Watts,792.69
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,RNN-T,Offline,samples/s,5704.6
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,RNN-T,Offline,System Watts,856.8
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,RNN-T,Server,queries/s,4202.02
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,RNN-T,Server,System Watts,862.46
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,SSD-Large,Offline,samples/s,557.43
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,SSD-Large,Offline,System Watts,792.85
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,SSD-Large,Server,queries/s,500.96
Table - Inference (0).csv,1.0-71,Dell EMC,Available Cloud,Dell EMC PowerEdge XE2420 (4x T4),Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz,2,2,NVIDIA T4,NVIDIA T4,,,NVIDIA T4,4,Closed - Power,1,4,Inference,SSD-Large,Server,System Watts,790.83
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,3D U-Net-99.0,Offline,samples/s,372.13
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,3D U-Net-99.0,Offline,System Watts,2260.88
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,3D U-Net-99.9,Offline,samples/s,372.13
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,3D U-Net-99.9,Offline,System Watts,2260.88
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.0,Offline,samples/s,17696.9
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.0,Offline,System Watts,2289.98
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.0,Server,queries/s,17498.5
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.0,Server,System Watts,2308.86
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.9,Offline,samples/s,8645.52
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.9,Offline,System Watts,2300.08
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.9,Server,queries/s,7504.02
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,BERT-99.9,Server,System Watts,2263.46
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,ResNet,Offline,samples/s,213599.0
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,ResNet,Offline,System Watts,2195.06
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,ResNet,Server,queries/s,184984.0
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,ResNet,Server,System Watts,2245.33
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,RNN-T,Offline,samples/s,82539.5
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,RNN-T,Offline,System Watts,2278.42
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,RNN-T,Server,queries/s,74974.3
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,RNN-T,Server,System Watts,2324.84
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,SSD-Large,Offline,samples/s,5823.76
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,SSD-Large,Offline,System Watts,2244.06
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,SSD-Large,Server,queries/s,5701.91
Table - Inference (0).csv,1.0-72,NVIDIA,Available Cloud,Gigabyte G482-Z54 (8x A100-PCIe; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-PCIe-40GB,PCIe,40GB,NVIDIA A100-PCIe-40GB,8,Closed - Power,1,8,Inference,SSD-Large,Server,System Watts,2259.64
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,3D U-Net-99.0,Offline,samples/s,433.36
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,3D U-Net-99.0,Offline,System Watts,3494.18
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,3D U-Net-99.9,Offline,samples/s,433.36
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,3D U-Net-99.9,Offline,System Watts,3494.18
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,BERT-99.0,Offline,samples/s,23405.6
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,BERT-99.0,Offline,System Watts,3457.68
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,BERT-99.0,Server,queries/s,21491.7
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,BERT-99.0,Server,System Watts,3563.52
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,BERT-99.9,Offline,samples/s,10879.6
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,BERT-99.9,Offline,System Watts,3467.84
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,BERT-99.9,Server,queries/s,10002.7
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,BERT-99.9,Server,System Watts,3506.39
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,DLRM-99.0,Offline,samples/s,2115950.0
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,DLRM-99.0,Offline,System Watts,3415.35
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,DLRM-99.0,Server,queries/s,2001940.0
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,DLRM-99.0,Server,System Watts,3477.3
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,DLRM-99.9,Offline,samples/s,2115950.0
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,DLRM-99.9,Offline,System Watts,3415.35
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,DLRM-99.9,Server,queries/s,2001940.0
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,DLRM-99.9,Server,System Watts,3477.3
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,ResNet,Offline,samples/s,270706.0
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,ResNet,Offline,System Watts,3458.69
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,ResNet,Server,queries/s,239991.0
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,ResNet,Server,System Watts,3451.7
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,RNN-T,Offline,samples/s,93803.2
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,RNN-T,Offline,System Watts,3555.0
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,RNN-T,Server,queries/s,87983.7
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,RNN-T,Server,System Watts,3550.96
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,SSD-Large,Offline,samples/s,6874.84
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,SSD-Large,Offline,System Watts,3503.11
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,SSD-Large,Server,queries/s,6301.4
Table - Inference (0).csv,1.0-73,NVIDIA,Available Cloud,NVIDIA DGX-A100 (8x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,2,2,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,8,Closed - Power,1,8,Inference,SSD-Large,Server,System Watts,3459.56
Table - Inference (0).csv,1.0-74,NVIDIA,Available Cloud,NVIDIA DGX Station A100 (4x A100-SXM-80GB; MaxQ; TensorRT),AMD EPYC 7742,1,1,NVIDIA A100,NVIDIA A100-SXM-80GB,SXM,80GB,NVIDIA A100-SXM-80GB,4,Closed - Power,1,4,Inference,3D U-Net-99.0,Offline,samples/s,202.35
