Name,API Name,Instance Family,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,Memory Speed,Uses NUMA Architecture,NUMA Node Count,Max NUMA Distance,Cores per NUMA Node (Avg),Threads per NUMA Node (Avg),Memory per NUMA Node (Avg MB),L3 Cache per NUMA Node (Avg MB),L3 Cache Shared,Compute Units (ECU),vCPUs,GiB of Memory per vCPU,GPUs,GPU model,GPU memory,CUDA Compute Capability,FPGAs,ECU per vCPU,Physical Processor,Clock Speed(GHz),Intel AVX,Intel AVX2,Intel AVX-512,Intel Turbo,Instance Storage,Instance Storage: already warmed-up,Instance Storage: SSD TRIM Support,Arch,Network Performance,EBS Optimized: Baseline Bandwidth,EBS Optimized: Baseline Throughput (128K),EBS Optimized: Baseline IOPS (16K),EBS Optimized: Max Bandwidth,EBS Optimized: Max Throughput (128K),EBS Optimized: Max IOPS (16K),EBS Exposed as NVMe,Max IPs,Max ENIs,Enhanced Networking,Bare metal,Trunking compatible,Branch interface,VPC Only,IPv6 Support,Placement Group Support,Linux Virtualization,On EMR,Availability Zones,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Linux Spot Average cost,RHEL On Demand cost,RHEL Reserved cost,RHEL Spot Minimum cost,RHEL Spot Maximum cost,RHEL with HA On Demand cost,RHEL with HA Reserved cost,RHEL with HA Spot Minimum cost,RHEL with HA Spot Maximum cost,SLES On Demand cost,SLES Reserved cost,SLES Spot Minimum cost,SLES Spot Maximum cost,Windows On Demand cost,Windows Reserved cost,Windows Spot Minimum cost,Windows Spot Average cost,Dedicated Host On Demand,Dedicated Host Reserved,Windows SQL Web On Demand cost,Windows SQL Web Reserved cost,Windows SQL Std On Demand cost,Windows SQL Std Reserved cost,Windows SQL Ent On Demand cost,Windows SQL Ent Reserved cost,Linux SQL Web On Demand cost,Linux SQL Web Reserved cost,Linux SQL Std On Demand cost,Linux SQL Std Reserved cost,Linux SQL Ent On Demand cost,Linux SQL Ent Reserved cost,Linux Spot Interrupt Frequency,EMR cost,Generation,GPU Architectures,GPU Temp (Avg °C),FFmpeg Used CUDA,FFmpeg Speed,GPU Power Draw (Avg Watts),GPU Power Limit (Watts),GPU Graphics Clock (Avg MHz),GPU SM Clock (Avg MHz),GPU Memory Clock (Avg MHz),GPU Video Clock (Avg MHz),On Demand (Vantage),Linux Spot Average cost (Vantage),Linux Reserved cost (Vantage),On Demand Numeric,Linux Spot Average Numeric,Linux Reserved Numeric,On Demand Filled,Linux Spot Average cost Filled,Linux Reserved cost Filled,gpu_model_clean,cpu_model_clean,gpu_count,vcpu_count,memory_gib,price_usd_per_hour,reserved_price_usd_per_hour,spot_price_usd_per_hour,cpu_tdp_w_package,threads_per_package,cpu_tdp_w_per_vcpu,cpu_source_type,cpu_source_name,cpu_source_note,cpu_mapping_status,gpu_tdp_w_per_gpu,storage_is_local_ssd,storage_total_gb,storage_drive_count_explicit,storage_text_clean,proxy_model,proxy_capacity_gb,idle_w,active_w,idle_w_per_tb,active_w_per_tb,source_type,source_note,estimated_drive_count,estimated_per_drive_gb,storage_total_tb,ssd_idle_w_per_tb,ssd_active_w_per_tb,ssd_idle_w_total,ssd_active_w_total,ram_idle_w_total,ram_active_w_total,gpu_mapping_status,scenario,cpu_utilization,gpu_utilization,ssd_state,ram_state,total_cpu_power_w,total_gpu_power_w,total_ram_power_w,total_ssd_power_w,other_components_power_w,total_power_w,total_power_mw,voll_usd_per_mwh,voll_reserved_usd_per_mwh,voll_spot_usd_per_mwh
P6-B200 High Performance and Machine Learning GPU 48xlarge,p6-b200.48xlarge,p6-b200,"3,990,024.938",GPU instance,,2048 GiB,5600 MT/s,Yes,2.0,21.0,48.0,96.0,1021963 MB,320.0 MB,Yes,0 units,192 vCPUs,10.67 GiB/vCPU,8.0,NVIDIA B200,1440 GiB,10.0,0,0.0000 units,Intel Xeon Scalable (Emerald Rapids),3.2 GHz,,,,,30400 GB (8×3800 GB NVMe SSD),Yes,Yes,x86_64,3200 Gigabit,100000 Mbps,12500 MB/s,400000 IOPS,100000 Mbps,12500 MB/s,400000 IOPS,Yes,1600.0,32.0,Yes,No,Yes,120.0,Yes,Yes,Yes,Unknown,No,,$113.9328 hourly,,$30.1695 hourly,$30.1695 hourly,$115.776 hourly,,$32.0127 hourly,$32.0127 hourly,$117.792 hourly,,,,$114.0578 hourly,,$30.2945 hourly,$30.2945 hourly,,,,,,,,,,,,,,,,,,,10-15%,,current,"Blackwell, Blackwell, Blackwell, Blackwell, Blackwell, Blackwell, Blackwell, Blackwell",25.3°C,,,158.0W,158.0W,822 MHz,822 MHz,3996 MHz,1071 MHz,113.9328,21.886,,113.9328,30.1695,,113.9328,30.1695,,B200,Intel Xeon Scalable (Emerald Rapids),8.0,192.0,2048.0,113.9328,,30.1695,350.0,96.0,3.6458333333333335,family_proxy,Representative Emerald Rapids Xeon benchmark/reference listings,Used average of all models with 3.2Ghz clock speed in Emerald Rapids listing,resolved,1000,True,30400.0,8,30400 GB (8×3800 GB NVMe SSD),Benchmark for large,5.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,8,3800.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,resolved,inf_p90,1.1,1.1,active,active,847.0000000000001,9680.000000000002,0.0,0.0,0.0,10527.000000000002,0.010527000000000002,10822.912510686803,,2865.9162154459955
P6-B300 48xlarge,p6-b300.48xlarge,p6-b300,,GPU instance,,4096 GiB,,,,,,,,,,0 units,192 vCPUs,21.33 GiB/vCPU,8.0,NVIDIA B300,2100 GiB,10.0,0,0.0000 units,Intel Xeon Scalable (Emerald Rapids),3.2 GHz,Yes,,Yes,Yes,30400 GB (8×3800 GB NVMe SSD),Yes,Yes,x86_64,6400 Gigabit,100000 Mbps,12500 MB/s,400000 IOPS,100000 Mbps,12500 MB/s,400000 IOPS,Yes,3400.0,68.0,Yes,No,Yes,120.0,Yes,Yes,Yes,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,current,,,,,,,,,,,142.416,26.331,,,,,142.416,26.331,,B300,Intel Xeon Scalable (Emerald Rapids),8.0,192.0,4096.0,142.416,,26.331,350.0,96.0,3.6458333333333335,family_proxy,Representative Emerald Rapids Xeon benchmark/reference listings,Used average of all models with 3.2Ghz clock speed in Emerald Rapids listing,resolved,1100,True,30400.0,8,30400 GB (8×3800 GB NVMe SSD),Benchmark for large,5.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,8,3800.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,resolved,inf_p90,1.1,1.1,active,active,847.0000000000001,10648.000000000002,0.0,0.0,0.0,11495.000000000002,0.011495000000000002,12389.386689865156,,2290.648107872988
P6E-GB200 36xlarge,p6e-gb200.36xlarge,p6e-gb200,,GPU instance,,960 GiB,,,,,,,,,,0 units,144 vCPUs,6.67 GiB/vCPU,36.0,NVIDIA B200,6660 GiB,10.0,0,0.0000 units,NVIDIA Grace,3 GHz,,,,,EBS only,,,x86_64,1700 Gigabit,,,,,,,No,,,Yes,,,,Yes,Yes,Yes,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,current,,,,,,,,,,,,,,,,,,,,B200,NVIDIA Grace,36.0,144.0,960.0,,,,500.0,144.0,3.4722222222222223,official_vendor_spec,NVIDIA Grace CPU Superchip product architecture/specs,Direct vendor value.,resolved,1000,False,0.0,,EBS only,No host-local SSD attributed,0.0,0.0,0.0,0.0,0.0,not_applicable,EBS-only or no local SSD in instance dataset.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,resolved,inf_p90,1.1,1.1,active,active,605.0000000000001,43560.00000000001,0.0,0.0,0.0,44165.00000000001,0.04416500000000001,,,
TRN2 48xlarge,trn2.48xlarge,trn2,,Machine Learning ASIC Instances,,2048 GiB,,,,,,,,,,0 units,192 vCPUs,10.67 GiB/vCPU,16.0,AWS Trainium2,96 GiB,0.0,0,0.0000 units,Intel Xeon Scalable (Sapphire Rapids),Up to 3.9 GHz,Yes,Yes,Yes,Yes,7600 GB (4×1900 GB NVMe SSD),Yes,Yes,x86_64,16x 200 Gigabit,80000 Mbps,10000 MB/s,260000 IOPS,80000 Mbps,10000 MB/s,260000 IOPS,Yes,1600.0,32.0,Yes,,,,Yes,Yes,Yes,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,current,,,,,,,,,,,0.125,8.721,,,,,0.125,8.721,,AWST2,Intel Xeon Scalable (Sapphire Rapids),16.0,192.0,2048.0,0.125,,8.721,205.0,64.0,3.203125,family_proxy - check,Representative Sapphire Rapids Xeon benchmark/reference listings,Generic family label in source data; representative family proxy used. 6438N/M/Y+ proxy used,resolved,500,True,7600.0,4,7600 GB (4×1900 GB NVMe SSD),Benchmark for medium,2.5,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,4,1900.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,resolved,inf_p90,1.1,1.1,active,active,744.1500000000001,9680.000000000002,0.0,0.0,0.0,10424.150000000001,0.010424150000000002,11.99138538873673,,836.6149758013842
DL2Q 24xlarge,dl2q.24xlarge,dl2q,"1,295,313.484",Machine Learning ASIC Instances,179.0 fps,768 GiB,2933 MT/s,Yes,2.0,21.0,24.0,48.0,382935 MB,35.0 MB,Yes,0 units,96 vCPUs,8.00 GiB/vCPU,8.0,Qualcomm AI 100 Accelerators,128 GiB,0.0,0,0.0000 units,Intel Xeon Platinum 8259 (Cascade Lake),2.5 GHz,Yes,Yes,Yes,Yes,EBS only,,,x86_64,100 Gigabit,19000 Mbps,2375 MB/s,80000 IOPS,19000 Mbps,2375 MB/s,80000 IOPS,Yes,750.0,15.0,Yes,No,Yes,107.0,Yes,Yes,Yes,Unknown,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,current,,,No,5.97x,,,,,,,11.5952,10.078,7.305,,,,11.5952,10.078,7.305,QA100,Intel Xeon Platinum 8259 (Cascade Lake),8.0,96.0,768.0,11.5952,7.305,10.078,210.0,48.0,4.375,benchmark_proxy,"Closest Cascade Lake benchmark/reference listings, CPU World",Custom AWS-adjacent SKU; inferred from common reference sites.,resolved,75,False,0.0,,EBS only,No host-local SSD attributed,0.0,0.0,0.0,0.0,0.0,not_applicable,EBS-only or no local SSD in instance dataset.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,resolved,lo,0.7,0.7,active,active,323.40000000000003,462.0,0.0,0.0,0.0,785.4000000000001,0.0007854000000000001,14763.432645785584,9300.993124522534,12831.67812579577
G2 Double Extra Large,g2.2xlarge,g2,,GPU instance,,15 GiB,,,,,,,,,,26 units,8 vCPUs,1.88 GiB/vCPU,1.0,NVIDIA GRID K520,4 GiB,3.0,0,3.2500 units,Intel Xeon E5-2670 (Sandy Bridge),2.6 GHz,Yes,,,Yes,EBS only,,,x86_64,Moderate,,,,,,,No,,,No,,,,No,No,Yes,Unknown,No,,$0.65 hourly,,,,$0.765 hourly,,,,,,,,$0.75 hourly,,,,$0.767 hourly,,,,$2.86 hourly,,$0.957 hourly,,$3.816 hourly,,,,$0.785 hourly,,$1.61 hourly,,,,,,previous,,,,,,,,,,,0.65,,,0.65,,,0.65,,,K520,Intel Xeon E5-2670 (Sandy Bridge),1.0,8.0,15.0,0.65,,,115.0,16.0,7.1875,vendor spec,Common Sandy Bridge Xeon benchmark/reference listings,Direct vendor-like proxy value.,resolved,225,False,0.0,,EBS only,No host-local SSD attributed,0.0,0.0,0.0,0.0,0.0,not_applicable,EBS-only or no local SSD in instance dataset.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,resolved,lo,0.7,0.7,active,active,44.275,173.25,0.0,0.0,0.0,217.525,0.00021752500000000002,2988.1622801976782,,
G2 Eight Extra Large,g2.8xlarge,g2,,GPU instance,,60 GiB,,,,,,,,,,104 units,32 vCPUs,1.88 GiB/vCPU,4.0,NVIDIA GRID K520,16 GiB,3.0,0,3.2500 units,Intel Xeon E5-2670 (Sandy Bridge),2.6 GHz,Yes,,,Yes,EBS only,,,x86_64,High,,,,,,,No,,,No,,,,No,No,Yes,Unknown,No,,$2.60 hourly,,,,$2.946 hourly,,,,,,,,$2.70 hourly,,,,$2.878 hourly,,,,$2.86 hourly,,,,,,$16.072 hourly,,,,,,$14.60 hourly,,,,previous,,,,,,,,,,,2.6,,,2.6,,,2.6,,,K520,Intel Xeon E5-2670 (Sandy Bridge),4.0,32.0,60.0,2.6,,,115.0,16.0,7.1875,vendor spec,Common Sandy Bridge Xeon benchmark/reference listings,Direct vendor-like proxy value.,resolved,225,False,0.0,,EBS only,No host-local SSD attributed,0.0,0.0,0.0,0.0,0.0,not_applicable,EBS-only or no local SSD in instance dataset.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,resolved,lo,0.7,0.7,active,active,177.1,693.0,0.0,0.0,0.0,870.1,0.0008701000000000001,2988.1622801976782,,
G3 Graphics GPU 16xlarge Extra Large,g3.16xlarge,g3,,GPU instance,,488 GiB,,,,,,,,,,201 units,64 vCPUs,7.63 GiB/vCPU,4.0,NVIDIA Tesla M60,32 GiB,5.2,0,3.1406 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,,Yes,EBS only,,,x86_64,20 Gigabit,,,,,,,No,,,Yes,,,,Yes,Yes,Yes,Unknown,Yes,,$4.56 hourly,,,,$5.2512 hourly,,,,$6.1472 hourly,,,,$4.66 hourly,,,,$7.504 hourly,,,,$5.016 hourly,,,,,,,,,,,,,,,$0.27 hourly,current,,,,,,,,,,,4.56,,,4.56,,,4.56,,,M60,Intel Xeon E5-2686 v4 (Broadwell),4.0,64.0,488.0,4.56,,,145.0,36.0,4.027777777777778,benchmark_proxy,"Broadwell Xeon benchmark reference listings, CPU World","AWS-associated custom part; direct vendor-like proxy value, CPU World.",resolved,300,False,0.0,,EBS only,No host-local SSD attributed,0.0,0.0,0.0,0.0,0.0,not_applicable,EBS-only or no local SSD in instance dataset.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,resolved,lo,0.7,0.7,active,active,198.48888888888888,924.0,0.0,0.0,0.0,1122.4888888888888,0.0011224888888888888,4062.401013620526,,
G3 Graphics GPU Quadruple Extra Large,g3.4xlarge,g3,,GPU instance,,122 GiB,,,,,,,,,,58 units,16 vCPUs,7.63 GiB/vCPU,1.0,NVIDIA Tesla M60,8 GiB,5.2,0,3.6250 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,,Yes,EBS only,,,x86_64,Up to 10 Gigabit,,,,,,,No,,,Yes,,,,Yes,Yes,Yes,Unknown,Yes,,$1.14 hourly,,,,$1.3128 hourly,,,,$1.5368 hourly,,,,$1.24 hourly,,,,$1.876 hourly,,,,$5.016 hourly,,,,,,,,,,,,,,,$0.27 hourly,current,,,,,,,,,,,1.14,,,1.14,,,1.14,,,M60,Intel Xeon E5-2686 v4 (Broadwell),1.0,16.0,122.0,1.14,,,145.0,36.0,4.027777777777778,benchmark_proxy,"Broadwell Xeon benchmark reference listings, CPU World","AWS-associated custom part; direct vendor-like proxy value, CPU World.",resolved,300,False,0.0,,EBS only,No host-local SSD attributed,0.0,0.0,0.0,0.0,0.0,not_applicable,EBS-only or no local SSD in instance dataset.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,resolved,lo,0.7,0.7,active,active,49.62222222222222,231.0,0.0,0.0,0.0,280.6222222222222,0.0002806222222222222,4062.401013620526,,
G3 Graphics GPU Eight Extra Large,g3.8xlarge,g3,,GPU instance,,244 GiB,,,,,,,,,,97 units,32 vCPUs,7.63 GiB/vCPU,2.0,NVIDIA Tesla M60,16 GiB,5.2,0,3.0313 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,Yes,Yes,,Yes,EBS only,,,x86_64,10 Gigabit,,,,,,,No,,,Yes,,,,Yes,Yes,Yes,Unknown,Yes,,$2.28 hourly,,,,$2.6256 hourly,,,,$3.0736 hourly,,,,$2.38 hourly,,,,$3.752 hourly,,,,$5.016 hourly,,,,,,,,,,,,,,,$0.27 hourly,current,,,,,,,,,,,2.28,,,2.28,,,2.28,,,M60,Intel Xeon E5-2686 v4 (Broadwell),2.0,32.0,244.0,2.28,,,145.0,36.0,4.027777777777778,benchmark_proxy,"Broadwell Xeon benchmark reference listings, CPU World","AWS-associated custom part; direct vendor-like proxy value, CPU World.",resolved,300,False,0.0,,EBS only,No host-local SSD attributed,0.0,0.0,0.0,0.0,0.0,not_applicable,EBS-only or no local SSD in instance dataset.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,resolved,lo,0.7,0.7,active,active,99.24444444444444,462.0,0.0,0.0,0.0,561.2444444444444,0.0005612444444444444,4062.401013620526,,
G3S Extra Large,g3s.xlarge,g3s,,GPU instance,,30.5 GiB,,,,,,,,,,13 units,4 vCPUs,7.63 GiB/vCPU,1.0,NVIDIA Tesla M60,8 GiB,5.2,0,3.2500 units,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,,,,,EBS only,,,x86_64,10 Gigabit,,,,,,,No,,,Yes,,,,Yes,Yes,Yes,Unknown,Yes,,$0.75 hourly,,,,$0.808 hourly,,,,$0.878 hourly,,,,$0.806 hourly,,,,$0.934 hourly,,,,$5.016 hourly,,,,,,,,,,,,,,,$0.188 hourly,current,,,,,,,,,,,0.75,,,0.75,,,0.75,,,M60,Intel Xeon E5-2686 v4 (Broadwell),1.0,4.0,30.5,0.75,,,145.0,36.0,4.027777777777778,benchmark_proxy,"Broadwell Xeon benchmark reference listings, CPU World","AWS-associated custom part; direct vendor-like proxy value, CPU World.",resolved,300,False,0.0,,EBS only,No host-local SSD attributed,0.0,0.0,0.0,0.0,0.0,not_applicable,EBS-only or no local SSD in instance dataset.,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,resolved,lo,0.7,0.7,active,active,12.405555555555555,231.0,0.0,0.0,0.0,243.40555555555557,0.00024340555555555556,3081.277246479355,,
G4AD 16xlarge Extra Large,g4ad.16xlarge,g4ad,"1,251,099.599",GPU instance,175.0 fps,256 GiB,2933 MT/s,No,,,,,,,,0 units,64 vCPUs,4.00 GiB/vCPU,4.0,AMD Radeon Pro V520,32 GiB,0.0,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,,,,,2400 GB (2×1200 GB NVMe SSD),Yes,Yes,x86_64,25 Gigabit,6300 Mbps,787.5 MB/s,26667 IOPS,6300 Mbps,787.5 MB/s,26667 IOPS,Yes,240.0,8.0,Yes,No,Yes,6.0,Yes,Yes,Yes,Unknown,No,,$3.468 hourly,$2.1848 hourly,$1.7274 hourly,$2.2351 hourly,$4.1592 hourly,$2.876 hourly,$2.4186 hourly,$3.2005 hourly,$5.0552 hourly,$3.772 hourly,,,$3.593 hourly,$2.2448 hourly,$1.8524 hourly,$2.6343 hourly,$6.412 hourly,$5.1288 hourly,$3.2908 hourly,$3.2908 hourly,$11.444 hourly,$7.21 hourly,,,,,,,,,,,,,<5%,,current,,,No,5.84x,,,,,,,,,,3.468,2.2351,2.1848,3.468,2.2351,2.1848,V520,AMD EPYC 7R32,4.0,64.0,256.0,3.468,2.1848,2.2351,280.0,96.0,2.9166666666666665,benchmark_proxy,"Closest EPYC Rome custom-SKU benchmark/reference listings, serversupply",AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,resolved,225,True,2400.0,2,2400 GB (2×1200 GB NVMe SSD),Benchmark for medium,2.5,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,2,1200.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,resolved,lo,0.7,0.7,active,active,143.73333333333332,693.0,0.0,0.0,0.0,836.7333333333333,0.0008367333333333334,4144.6896661620585,2611.1066847263164,2671.2214166201898
G4AD Double Extra Large,g4ad.2xlarge,g4ad,"149,300.156",GPU instance,53.0 fps,32 GiB,2933 MT/s,No,,,,,,,,0 units,8 vCPUs,4.00 GiB/vCPU,1.0,AMD Radeon Pro V520,8 GiB,0.0,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,,,,,300 GB NVMe SSD,Yes,Yes,x86_64,Up to 10 Gigabit,800 Mbps,100 MB/s,3400 IOPS,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,8.0,2.0,Yes,No,Yes,12.0,Yes,Yes,Yes,Unknown,No,,$0.5412 hourly,$0.3409 hourly,$0.1977 hourly,$0.2767 hourly,$0.6564 hourly,$0.4561 hourly,$0.3129 hourly,$0.4774 hourly,$0.7964 hourly,$0.5961 hourly,,,$0.6662 hourly,$0.4009 hourly,$0.3227 hourly,$0.4872 hourly,$0.9092 hourly,$0.7089 hourly,$0.5128 hourly,$0.5374 hourly,$11.444 hourly,$7.21 hourly,,,,,,,,,,,,,<5%,,current,,,No,1.78x,,,,,,,,,,0.5412,0.2767,0.3409,0.5412,0.2767,0.3409,V520,AMD EPYC 7R32,1.0,8.0,32.0,0.5412,0.3409,0.2767,280.0,96.0,2.9166666666666665,benchmark_proxy,"Closest EPYC Rome custom-SKU benchmark/reference listings, serversupply",AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,resolved,225,True,300.0,,300 GB NVMe SSD,Benchmark for small,1.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,300.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,resolved,lo,0.7,0.7,active,active,17.966666666666665,173.25,0.0,0.0,0.0,191.21666666666667,0.00019121666666666666,2830.2972195589646,1782.7943868212324,1447.0495947006013
G4AD Quadruple Extra Large,g4ad.4xlarge,g4ad,"301,744.46",GPU instance,100.0 fps,64 GiB,3200 MT/s,No,,,,,,,,0 units,16 vCPUs,4.00 GiB/vCPU,1.0,AMD Radeon Pro V520,8 GiB,0.0,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,,,,,600 GB NVMe SSD,Yes,Yes,x86_64,Up to 10 Gigabit,1580 Mbps,197.5 MB/s,6700 IOPS,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,30.0,3.0,Yes,No,Yes,11.0,Yes,Yes,Yes,Unknown,No,,$0.867 hourly,$0.5462 hourly,$0.326 hourly,$0.3638 hourly,$1.0398 hourly,$0.719 hourly,$0.4988 hourly,$0.5539 hourly,$1.2638 hourly,$0.943 hourly,,,$0.992 hourly,$0.6062 hourly,$0.451 hourly,$0.5061 hourly,$1.603 hourly,$1.2822 hourly,$0.8396 hourly,$0.8435 hourly,$11.444 hourly,$7.21 hourly,,,,,,,,,,,,,<5%,,current,,,No,3.33x,,,,,,,,,,0.867,0.3638,0.5462,0.867,0.3638,0.5462,V520,AMD EPYC 7R32,1.0,16.0,64.0,0.867,0.5462,0.3638,280.0,96.0,2.9166666666666665,benchmark_proxy,"Closest EPYC Rome custom-SKU benchmark/reference listings, serversupply",AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,resolved,225,True,600.0,,600 GB NVMe SSD,Benchmark for small,1.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,600.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,resolved,lo,0.7,0.7,active,active,35.93333333333333,173.25,0.0,0.0,0.0,209.18333333333334,0.00020918333333333334,4144.6896661620585,2611.1066847263164,1739.1442912915306
G4AD Eight Extra Large,g4ad.8xlarge,g4ad,"609,911.055",GPU instance,151.0 fps,128 GiB,2933 MT/s,No,,,,,,,,0 units,32 vCPUs,4.00 GiB/vCPU,2.0,AMD Radeon Pro V520,16 GiB,0.0,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,,,,,1200 GB NVMe SSD,Yes,Yes,x86_64,15 Gigabit,3170 Mbps,396.25 MB/s,13333 IOPS,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,60.0,4.0,Yes,No,Yes,10.0,Yes,Yes,Yes,Unknown,No,,$1.734 hourly,$1.0924 hourly,$0.6382 hourly,$0.6783 hourly,$2.0796 hourly,$1.438 hourly,$0.9838 hourly,$1.0525 hourly,$2.5276 hourly,$1.886 hourly,,,$1.859 hourly,$1.1524 hourly,$0.7632 hourly,$0.8319 hourly,$3.206 hourly,$2.5644 hourly,$1.6454 hourly,$1.6454 hourly,$11.444 hourly,$7.21 hourly,,,,,,,,,,,,,<5%,,current,,,No,5.04x,,,,,,,,,,1.734,0.6783,1.0924,1.734,0.6783,1.0924,V520,AMD EPYC 7R32,2.0,32.0,128.0,1.734,1.0924,0.6783,280.0,96.0,2.9166666666666665,benchmark_proxy,"Closest EPYC Rome custom-SKU benchmark/reference listings, serversupply",AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,resolved,225,True,1200.0,,1200 GB NVMe SSD,Benchmark for medium,2.5,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,1200.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,resolved,lo,0.7,0.7,active,active,71.86666666666666,346.5,0.0,0.0,0.0,418.3666666666667,0.0004183666666666667,4144.6896661620585,2611.1066847263164,1621.3050752928054
G4AD Extra Large,g4ad.xlarge,g4ad,"74,710.497",GPU instance,28.0 fps,16 GiB,2933 MT/s,No,,,,,,,,0 units,4 vCPUs,4.00 GiB/vCPU,1.0,AMD Radeon Pro V520,8 GiB,0.0,0,0.0000 units,AMD EPYC 7R32,2.8 GHz,,,,,150 GB NVMe SSD,Yes,Yes,x86_64,Up to 10 Gigabit,400 Mbps,50 MB/s,1700 IOPS,3170 Mbps,396.25 MB/s,13333 IOPS,Yes,8.0,2.0,Yes,No,Yes,12.0,Yes,Yes,Yes,Unknown,No,,$0.3785 hourly,$0.2385 hourly,$0.1126 hourly,$0.1146 hourly,$0.4361 hourly,$0.2961 hourly,$0.1702 hourly,$0.1757 hourly,$0.5061 hourly,$0.3661 hourly,,,$0.4348 hourly,$0.2885 hourly,$0.1689 hourly,$0.1744 hourly,$0.5625 hourly,$0.4225 hourly,$0.2219 hourly,$0.2245 hourly,$11.444 hourly,$7.21 hourly,,,,,,,,,,,,,<5%,,current,,,No,0.92x,,,,,,,,,,0.3785,0.1146,0.2385,0.3785,0.1146,0.2385,V520,AMD EPYC 7R32,1.0,4.0,16.0,0.3785,0.2385,0.1146,280.0,96.0,2.9166666666666665,benchmark_proxy,"Closest EPYC Rome custom-SKU benchmark/reference listings, serversupply",AWS custom Rome part; package TDP inferred from common benchmark/reference sources.,resolved,225,True,150.0,,150 GB NVMe SSD,Benchmark for small,1.0,0.0,0.0,0.0,0.0,proxy_reference,Proxy SSD class with watts expressed on a per-TB basis.,1,150.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,resolved,lo,0.7,0.7,active,active,8.983333333333333,173.25,0.0,0.0,0.0,182.23333333333332,0.0001822333333333333,2077.0074995427112,1308.761660874337,628.8640936528261
